dbn,school_name,address,lat,lon,district,school_type,grades,has_mshp,chronic_absenteeism_rate,enrollment
11X169,Baychester Academy,3500 EDSON AVENUE,40.881344,-73.839386,11,High School,"PK,0K,01,02,03,04,05",False,36.12565613,382.0
09X170,P.S. 170,1598 TOWNSEND AVENUE,40.844367,-73.913253,9,Elementary,"0K,01,02",False,28.94736862,152.0
11X175,P.S. 175 City Island,200 CITY ISLAND AVENUE,40.844353,-73.78354,11,Elementary,"0K,01,02,03,04,05,06,07,08",False,26.4285717,280.0
75X176,P.S. X176,750 BAYCHESTER AVENUE,40.874035,-73.831669,11,Elementary,"PK,01,02,03,04,05,06,07,08,09,10,11,12,SE",False,,
11X178,P.S. 178 - Dr. Selman Waksman,850 BAYCHESTER AVENUE,40.874035,-73.831669,11,Elementary,"0K,01,02,03,04,05",False,28.03234482,371.0
07X179,P.S. 179,468 EAST 140 STREET,40.80908,-73.919773,7,Elementary,"PK,0K,01,02,03,04,05",False,37.82608795,230.0
11X180,M.S. 180 Dr. Daniel Hale Williams,700 BAYCHESTER AVENUE,40.874035,-73.831669,11,Middle School,"06,07,08",False,35.78553772,802.0
11X181,I.S. 181 Pablo Casals,800 BAYCHESTER AVENUE,40.874035,-73.831669,11,Middle School,"06,07,08",False,32.02357483,509.0
08X182,P.S. 182,601 STICKBALL BOULEVARD,40.818925,-73.856976,8,Elementary,"PK,0K,01,02,03,04,05",False,46.81818008,440.0
75X186,P186X Walter J. Damrosch School,750 JENNINGS STREET,40.831388,-73.897797,12,Other,"01,02,03,04,05,06,07,08,09,10,11,12,SE",False,,
75X188,P.S. X188,770 GROTE STREET,40.850168,-73.883877,10,Elementary,"PK,01,02,03,04,05,06,07,08,09,10,11,12,SE",False,,
11X189,Cornerstone Academy for Social Action,3441 STEENWICK AVENUE,40.882778,-73.830616,11,High School,"PK,0K,01,02,03,04,05",False,37.97909546,287.0
12X190,E.S.M.T- I.S. 190,1550 CROTONA PARK EAST,40.836156,-73.892784,12,Middle School,"06,07,08",False,43.20987701,243.0
11X194,P.S./M.S. 194,2365 WATERBURY AVENUE,40.83541,-73.846594,11,Middle School,"0K,01,02,03,04,05,06,07,08",False,31.2148037,1243.0
12X195,P.S. 195,1250 WARD AVENUE,40.830811,-73.877305,12,Elementary,"02,03,04,05",False,29.01960754,765.0
12X196,P.S. 196,1250 WARD AVENUE,40.830811,-73.877305,12,Elementary,"02,03,04,05",False,32.66128922,744.0
09X199,P.S. 199X - The Shakespeare School,1449 SHAKESPEARE AVENUE,40.843453,-73.920826,9,Elementary,"PK,0K,01,02,03,04,05",True,32.45192337,416.0
09X204,P.S. 204 Morris Heights,1780 DR. MARTIN LUTHER KING JR. BLVD,40.849416,-73.915217,9,Elementary,"0K,01,02,03,04,05",False,33.11475372,610.0
10X205,P.S. 205 Fiorello LaGuardia,2475 SOUTHERN BOULEVARD,40.855759,-73.881753,10,Elementary,"0K,01,02,03,04,05",False,41.41414261,594.0
10X206,I.S. 206 Ann Mersereau,2280 AQUEDUCT AVENUE,40.859534,-73.906285,10,Middle School,"05,06,07,08",False,31.78294563,258.0
10X207,P.S. 207,3030 GODWIN TERRACE,40.878327,-73.906197,10,Elementary,"PK,0K,01,02",False,42.55319214,423.0
10X209,P.S. 209,313 EAST 183RD STREET,40.856834,-73.897635,10,Elementary,"PK,0K,01,02",False,28.5714283,168.0
